   c  s cnt l n  v  L C  A  D  r h  w f  b rh g lg p nas 
gr_c 1 -1 -1 -1 -1 1 -1 -1 0 1 -1 1 -1 0 0 1 -1 0 -1 -1
q_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
q>_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
Q_c 1 -1 -1 -1 -1 1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
?_c 1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 0 0 0 0 -1 1 0 -1 -1
p>_c 1 -1 -1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
t>_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
t[>_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
k>_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
k>j_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
ph_c 1 -1 -1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
th_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
thl_c 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
kh_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
ch_c 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
qh_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
thr_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
m_c 1 1 -1 -1 1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
m0_c 1 1 -1 -1 1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
mh_c 1 1 -1 -1 1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
mw_c 1 1 -1 -1 1 1 1 -1 0 -1 1 0 0 0 0 -1 -1 0 -1 0
mj_c 1 1 -1 -1 1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
M_c 1 1 -1 -1 1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 0
n_c 1 1 -1 -1 1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
n0_c 1 1 -1 -1 1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
nw_c 1 1 -1 -1 1 1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
nj_c 1 1 -1 -1 1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
nh_c 1 1 -1 -1 1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
n[_c 1 1 -1 -1 1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 0
n~_c 1 1 -1 -1 1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 0
nr_c 1 1 -1 -1 1 1 -1 1 -1 1 -1 0 0 0 0 1 -1 0 -1 0
N 1 1 -1 -1 1 1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 0
N_c 1 1 -1 -1 1 1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 0
Nq_c 1 1 -1 -1 1 1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 0
w_c 0 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 -1 0 -1 -1
V[_c 0 1 1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
9_c 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
9r_c 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
9rh_c 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
9r:_c 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 1 -1 -1
9r[_c 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
9r=_c 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
j_c 0 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
jw_c 0 1 1 -1 -1 1 1 -1 0 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
jr_c 0 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 1 -1 0 -1 -1
4)_c 0 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 -1 1 -1 -1 0 -1 -1
l=_c 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
lr=_c 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
lr_c 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
l_c 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
lj_c 1 1 1 1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
Lg_c 1 1 1 1 -1 1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
L_c 1 1 1 1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
B_c 1 1 1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
r_c 1 1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
rw_c 1 1 1 -1 -1 1 1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
r=_c 1 1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
rh_c 1 1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
R_c 1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 -1 1 1 -1 0 -1 -1
rr_c 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
rr=_c 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
r(_c 1 1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
F_c 1 -1 1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
V_c 1 -1 1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
f_c 1 -1 1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
fw_c 1 -1 1 -1 -1 -1 1 -1 0 -1 1 0 0 0 0 -1 -1 0 -1 -1
fj_c 1 -1 1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
v_c 1 -1 1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
vw_c 1 -1 1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
T_c 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
D_c 1 -1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Dw_c 1 -1 1 -1 -1 1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
s_c 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
sw_c 1 -1 1 -1 -1 -1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
sj_c 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
z_c 1 -1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
zh_c 1 -1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
S_c 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Sw_c 1 -1 1 -1 -1 -1 1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Sj_c 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Z_c 1 -1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Z}_c 1 -1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
sr_c 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
zr_c 1 -1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
C_c 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
j^_c 1 -1 1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
x_c 1 -1 1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
G_c 1 -1 1 -1 -1 1 -1 -1 0 1 -1 0 0 0 0 -1 -1 0 -1 -1
Gw_c 1 -1 1 -1 -1 1 1 -1 0 1 -1 0 0 0 0 -1 -1 0 -1 -1
Gh_c 1 -1 1 -1 -1 1 -1 -1 0 1 -1 0 0 0 0 -1 -1 0 -1 -1
X_c 1 -1 1 -1 -1 -1 -1 -1 0 1 -1 -1 1 -1 1 -1 -1 0 -1 -1
K_c 1 -1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 1 -1 -1 0 -1 -1
H_c 1 -1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 1 -1 -1 0 -1 -1
h_c 0 -1 1 -1 -1 -1 -1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
hw_c 0 -1 1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
sh_c 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Ch_c 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
hl_c 1 -1 1 1 -1 1 -1 1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Zl_c 1 -1 1 1 -1 1 -1 1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
pf_c 1 -1 -1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
bB_c 1 -1 -1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
bv_c 1 -1 -1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
ts_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
ts_rh_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
ts_r_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
ts>_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tsr_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dz_c 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dzr_c 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 1 -1 0 -1 -1
tS_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tSj_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dZ_c 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
cC_c 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
kx_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
qX_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
kp_c 1 -1 -1 -1 -1 -1 1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
gb_c 1 -1 -1 -1 -1 1 1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
pt_c 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
bd_c 1 -1 -1 -1 -1 1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tsh_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tshr_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tSh_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
cCh_c 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
tS>_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
cC>_c 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
t!_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 1 -1 -1 0 -1 -1
d!_c 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 1 -1 -1 0 -1 -1
I? -1 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 1 0 -1 -1
i: -1 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 -1 1 -1 -1
u? -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 1 0 -1 -1
?u -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 1 0 -1 -1
u: -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 -1 1 -1 -1
a: -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 -1  1 -1 -1
@: -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 -1  1 -1 -1
a? -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 1 0 -1 -1
?a: -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 1 1 -1 -1
?@: -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 1 1 -1 -1
T~ 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 0 0 1 -1
d~ 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 0 0 1 -1
t~ 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 0 0 1 -1
s~ 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 0 0 1 -1
z~ 1 -1 1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 0 0 1 -1
hv  1 -1 -1 -1 -1 1 -1 -1 0 -1 -1 0 0 0 0 -1 1 0 -1 -1
a- -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 -1 -1 -1 1
a~ -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 -1 -1 -1 1
a:- -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 -1  1 -1 1
e- -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 1 -1 -1 -1 -1 -1 1
i- -1 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 -1 -1 -1 1
i:- -1 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 -1 1 -1 1
o- -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 -1 1 -1 -1 -1 -1 1
u- -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 -1 -1 -1 1
u:- -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 -1 1 -1 +1
bh 1 -1 -1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dh  1 -1 -1 -1 -1  1 -1 1  1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dhr 1 -1 -1 -1 -1  1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
gh 1 -1 -1 -1 -1 1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
J 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
n- 1 1 -1 -1 1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
rrh 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 0 0 0 1 -1 0 -1 -1
thr 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
Jh 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
