   c  s cnt l n  v  L C  A  D  r h  w f  b rh g lg p nas 
I -1 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 -1 -1 -1 -1
p 1 -1 -1 -1 -1 -1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
pw 1 -1 -1 -1 -1 -1 1 -1 0 -1 1 0 0 0 0 -1 -1 0 -1 -1
b 1 -1 -1 -1 -1 1 1 -1 0 -1 -1 0 0 0 0 -1 -1 0 -1 -1
bw 1 -1 -1 -1 -1 1 1 -1 0 -1 1 0 0 0 0 -1 -1 0 -1 -1
t 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tw 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tj 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tl 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
t[ 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
t[_h 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
d 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dj 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
d[ 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
d[_h 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tr 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
trh 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tR 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dr 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dR 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
c 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
cw 1 -1 -1 -1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
c} 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
c}h 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
J 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
k 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
kw 1 -1 -1 -1 -1 -1 -1 -1 0 1 1 1 -1 0 0 -1 -1 0 -1 -1
kj 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
g 1 -1 -1 -1 -1 1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
gr 1 -1 -1 -1 -1 1 -1 -1 0 1 -1 1 -1 0 0 1 -1 0 -1 -1
gj 1 -1 -1 -1 -1 1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
q 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
q> 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
Q 1 -1 -1 -1 -1 1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
