# Hangel Syllables
AD30	k w @ kh
AD31	k w @ th
AD32	k w @ ph
AD33	k w @ h
AD34	k w e
AD35	k w e k
AD36	k w e k>
AD37	k w e k sh
AD38	k w e n
AD39	k w e n tS
AD3A	k w e n h
AD3B	k w e t
AD3C	k w e l
AD3D	k w e l k
AD3E	k w e l m
AD3F	k w e l p
AD40	k w e l sh
AD41	k w e l th
AD42	k w e l ph
AD43	k w e l h
AD44	k w e m
AD45	k w e p
AD46	k w e p sh
AD47	k w e sh
AD48	k w e s
AD49	k w e N
AD4A	k w e tS
AD4B	k w e tSh
AD4C	k w e kh
AD4D	k w e th
AD4E	k w e ph
AD4F	k w e h
AD50	k j o
AD51	k j o k
AD52	k j o k>
AD53	k j o k sh
AD54	k j o n
AD55	k j o n tS
AD56	k j o n h
AD57	k j o t
AD58	k j o l
AD59	k j o l k
AD5A	k j o l m
AD5B	k j o l p
AD5C	k j o l sh
AD5D	k j o l th
AD5E	k j o l ph
AD5F	k j o l h
AD60	k j o m
AD61	k j o p
AD62	k j o p sh
AD63	k j o sh
AD64	k j o s
AD65	k j o N
AD66	k j o tS
AD67	k j o tSh
AD68	k j o kh
AD69	k j o th
AD6A	k j o ph
AD6B	k j o h
AD6C	k u
AD6D	k u k
AD6E	k u k>
AD6F	k u k sh
AD70	k u n
AD71	k u n tS
AD72	k u n h
AD73	k u t
AD74	k u l
AD75	k u l k
AD76	k u l m
AD77	k u l p
AD78	k u l sh
AD79	k u l th
AD7A	k u l ph
AD7B	k u l h
AD7C	k u m
AD7D	k u p
AD7E	k u p sh
AD7F	k u sh
AD80	k u s
AD81	k u N
AD82	k u tS
AD83	k u tSh
AD84	k u kh
AD85	k u th
AD86	k u ph
AD87	k u h
AD88	k w ^
AD89	k w ^ k
AD8A	k w ^ k>
AD8B	k w ^ k sh
AD8C	k w ^ n
AD8D	k w ^ n tS
AD8E	k w ^ n h
AD8F	k w ^ t
AD90	k w ^ l
AD91	k w ^ l k
AD92	k w ^ l m
AD93	k w ^ l p
AD94	k w ^ l sh
AD95	k w ^ l th
AD96	k w ^ l ph
AD97	k w ^ l h
AD98	k w ^ m
AD99	k w ^ p
AD9A	k w ^ p sh
AD9B	k w ^ sh
AD9C	k w ^ s 
AD9D	k w ^ N
AD9E	k w ^ tS
AD9F	k w ^ tSh
ADA0	k w ^ kh
ADA1	k w ^ th
ADA2	k w ^ ph
ADA3	k w ^ h
ADA4	k w E
ADA5	k w E k
ADA6	k w E k>
ADA7	k w E k sh
ADA8	k w E n
ADA9	k w E n tS
ADAA	k w E n h
ADAB	k w E t
ADAC	k w E l
ADAD	k w E l k
ADAE	k w E l m
ADAF	k w E l p 
ADB0	k w E l sh
ADB1	k w E l th
ADB2	k w E l ph
ADB3	k w E l h
ADB4	k w E m
ADB5	k w E p
ADB6	k w E p sh
ADB7	k w E sh
ADB8	k w E s
ADB9	k w E N
ADBA	k w E tS
ADBB	k w E tSh
ADBC	k w E kh
ADBD	k w E th
ADBE	k w E ph
ADBF	k w E h
ADC0	k 7
ADC1	k 7 k
ADC2	k 7 k>
ADC3	k 7 k sh
ADC4	k 7 n
ADC5	k 7 n tS
ADC6	k 7 n h
ADC7	k 7 t
ADC8	k 7 l
ADC9	k 7 l k
ADCA	k 7 l m
ADCB	k 7 l p
ADCC	k 7 l sh
ADCD	k 7 l th
ADCE	k 7 l ph
ADCF	k 7 l h
ADD0	k 7 m
ADD1	k 7 p
ADD2	k 7 p sh
ADD3	k 7 sh
ADD4	k 7 s
ADD5	k 7 N
ADD6	k 7 tS
ADD7	k 7 tSh
ADD8	k 7 kh
ADD9	k 7 th
ADDA	k 7 ph
ADDB	k 7 h
ADDC	k j u
ADDD	k j u k
ADDE	k j u k>
ADDF	k j u k sh
ADE0	k j u n
ADE1	k j u n tS
ADE2	k j u n h
ADE3	k j u t
ADE4	k j u l
ADE5	k j u l k
ADE6	k j u l m
ADE7	k j u l p
ADE8	k j u l sh
ADE9	k j u l th
ADEA	k j u l ph
ADEB	k j u l h
ADEC	k j u m
ADED	k j u p
ADEE	k j u p sh
ADEF	k j u sh
ADF0	k j u s
ADF1	k j u N
ADF2	k j u tS
ADF3	k j u tSh
ADF4	k j u kh
ADF5	k j u th
ADF6	k j u ph
ADF7	k j u h
ADF8	k 4
ADF9	k 4 k
ADFA	k 4 k>
ADFB	k 4 k sh
ADFC	k 4 n
ADFD	k 4 n tS
ADFE	k 4 n h
ADFF	k 4 t
AE00	k 4 l
AE01	k 4 l k
AE02	k 4 l m
AE03	k 4 l p
AE04	k 4 l sh
AE05	k 4 l th
AE06	k 4 l ph
AE07	k 4 l h
AE08	k 4 m
AE09	k 4 p
AE0A	k 4 p sh
AE0B	k 4 sh
AE0C	k 4 s
AE0D	k 4 N
AE0E	k 4 tS
AE0F	k 4 tSh
AE10	k 4 kh
AE11	k 4 th
AE12	k 4 ph
AE13	k 4 h
AE14	k 4 j
AE15	k 4 j k
AE16	k 4 j k>
AE17	k 4 j k sh
AE18	k 4 j n
AE19	k 4 j n tS
AE1A	k 4 j n h
AE1B	k 4 j t
AE1C	k 4 j l
AE1D	k 4 j l k
AE1E	k 4 j l m
AE1F	k 4 j l p
AE20	k 4 j l sh
AE21	k 4 j l th
AE22	k 4 j l ph
AE23	k 4 j l h
AE24	k 4 j m
AE25	k 4 j p
AE26	k 4 j p sh
AE27	k 4 j sh
AE28	k 4 j s
AE29	k 4 j N
AE2A	k 4 j tS
AE2B	k 4 j tSh
AE2C	k 4 j kh
AE2D	k 4 j th
AE2E	k 4 j ph
AE2F	k 4 j h
AE30	k i
AE31	k i k
AE32	k i k>
AE33	k i k sh
AE34	k i n
AE35	k i n tS
AE36	k i n h
AE37	k i t
AE38	k i l
AE39	k i l k
AE3A	k i l m
AE3B	k i l p
AE3C	k i l sh
AE3D	k i l th
AE3E	k i l ph
AE3F	k i l h
AE40	k i m
AE41	k i p
AE42	k i p sh
AE43	k i sh
AE44	k i s
AE45	k i N
AE46	k i tS
AE47	k i tSh
AE48	k i kh
AE49	k i th
AE4A	k i ph
AE4B	k i h
AE4C	k> a
AE4D	k> a k
AE4E	k> a k> 
AE4F	k> a k ah
AE50	k> a n
AE51	k> a n tS
AE52	k> a n h	
AE53	k> a t
AE54	k> a l
AE55	k> a l k
AE56	k> a l m
AE57	k> a l p
AE58	k> a l sh
AE59	k> a l th
AE5A	k> a l ph
AE5B	k> a l h
AE5C	k> a m
AE5D	k> a p
AE5E	k> a p sh
AE5F	k> a sh
AE60	k> a s
AE61	k> a N
AE62	k> a tS
AE63	k> a tSh
AE64	k> a kh
AE65	k> a th
AE66	k> a ph
AE67	k> a h
AE68	k> @
AE69	k> @ k
AE6A	k> @ k>
AE6B	k> @ k sh
AE6C	k> @ n
AE6D	k> @ n tS
AE6E	k> @ n h
AE6F	k> @ t
AE70	k> @ l
AE71	k> @ l k
AE72	k> @ l m
AE73	k> @ l p
AE74	k> @ l sh
AE75	k> @ l th
AE76	k> @ l ph
AE77	k> @ l h
AE78	k> @ m
AE79	k> @ p
AE7A	k> @ p sh
AE7B	k> @ sh
AE7C	k> @ s
AE7D	k> @ N
AE7E	k> @ tS
AE7F	k> @ tSh
AE80	k> @ kh
AE81	k> @ th
AE82	k> @ ph
AE83	k> @ h
AE84	k> j a
AE85	k> j a k
AE86	k> j a k> 
AE87	k> j a k sh
AE88	k> j a n
AE89	k> j a n tS
AE8A	k> j a n h
AE8B	k> j a t
AE8C	k> j a l
AE8D	k> j a l k
AE8E	k> j a l m
AE8F	k> j a l p
AE90	k> j a l sh
AE91	k> j a l th
AE92	k> j a l ph
AE93	k> j a l h
AE94	k> j a m
AE95	k> j a p
AE96	k> j a p sh
AE97	k> j a sh
AE98	k> j a s
AE99	k> j a N
AE9A	k> j a tS
AE9B	k> j a tSh
AE9C	k> j a kh
AE9D	k> j a th
AE9E	k> j a ph
AE9F	k> j a h
AEA0	k> j @
AEA1	k> j @ k
AEA2	k> j @ k>
AEA3	k> j @ k sh
AEA4	k> j @ n
